pos,Channel,Title,Uploaded,Views,Like,Dislike,Comment
426,JonasBlueVEVO,Jonas Blue - Perfect Strangers ft. JP Cooper,2016-06-14,634504724.0, 2886751,    81106,   42715
427,LooLoo Kids - Nursery Rhymes and Children's Songs,🚍 The Wheels On The Bus 🚌 Fun Songs for Children | LooLoo Kids,2017-05-07,634187135.0, 1352487,   848825,   27687
428,KarolGVEVO,KAROL G - Mi Cama,2018-05-11,633947289.0, 2892476,   244932,  125792
429,OneDirectionVEVO,One Direction - Live While We're Young,2012-09-20,633790747.0, 3528798,   168078,  523657
430,MauyRickyVEVO,"Mau y Ricky, Manuel Turizo, Camilo - Desconocidos (Official Video)",2018-10-12,633165680.0, 2096863,   107228,   50762
431,El Reino Infantil,El Marinero Baila - Paco El Marinero | El Reino Infantil,2014-11-29,633145732.0,   796980,   498088,   16834
432,David Guetta,"David Guetta, Bebe Rexha & J Balvin - Say My Name (Official Video)",2018-11-20,633058807.0, 3485027,   149340,   68092
433,MariahCareyVEVO,Mariah Carey - All I Want For Christmas Is You (Official Music Video),2009-11-24,632257493.0, 2994383,   138122,  210960
434,remhq,R.E.M. - Losing My Religion (Official Music Video),2011-07-02,631399596.0, 2127286,    96157,   52814
435,AdeleVEVO,Adele - Send My Love (To Your New Lover),2016-05-23,631013516.0, 3782184,   132094,  147642
436,Canal KondZilla,Amor de Verdade - MC Kekel e MC Rita (KondZilla),2018-03-31,630929435.0, 5638315,   254987,  276452
437,AudioslaveVEVO,Audioslave - Like a Stone (Official Video),2009-10-25,627675779.0, 2281816,    97882,   86658
438,HoobastankVEVO,Hoobastank - The Reason (Official Music Video),2009-10-07,625628351.0, 2792015,    93553,   64963
439,AnuelVEVO,Anuel AA - Ella Quiere Beber (Remix) ft. Romeo Santos,2018-11-01,625462568.0, 2131811,   144606,   51623
440,CalvinHarrisVEVO,"Calvin Harris, Dua Lipa - One Kiss (Official Video)",2018-05-02,622279168.0, 3321431,   161559,   80046
441,BobbyShmurdaVEVO,Bobby Shmurda - Hot N*gga (Official Video),2014-08-01,622273851.0, 3863689,   242050,  255628
442,RomeoSantosVEVO,Romeo Santos - Yo También (Official Video) ft. Marc Anthony,2015-01-23,621241708.0, 1242633,   102296,   26526
443,KatyPerryVEVO,Katy Perry - Chained To The Rhythm (Official) ft. Skip Marley,2017-02-21,620897276.0, 3715298,   232678,  162027
444,JustinBieberVEVO,Justin Bieber - One Time,2009-11-24,620498502.0, 2743197,   685462,  389772
445,T-Series,Official Video: Nikle Currant Song | Jassi Gill | Neha Kakkar | Sukh-E Muzical Doctorz | Jaani,2018-10-12,620432139.0, 3003164,   281455,  149815
446,Big Hit Labels,BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV,2017-11-24,619344214.0, 8864566,   247263,  999568
447,DillonFrancisVEVO,"Dillon Francis, DJ Snake - Get Low (Video)",2014-05-22,619199682.0, 3946225,   166541,   89018
448,AlvaroSolerVEVO,Alvaro Soler - Sofia (Video Oficial),2016-04-15,618088408.0, 3365005,   222608,  167036
449,Charlie Puth,Charlie Puth - Marvin Gaye ft. Meghan Trainor [Official Video],2015-04-01,617515607.0, 2991780,   123001,   93530
450,T-Series,Cheez Badi  Full Video | Machine | Mustafa & Kiara Advani | Udit Narayan & Neha Kakkar | T-Series,2017-04-03,617105732.0, 1622757,   222264,   64651
451,Zee Music Company,Jaha Tum Rahoge | Maheruh | Amit Dolawat & Drisha More | Altamash Faridi | Kalyan Bhardhan,2017-11-02,615509352.0,   923102,   360833,   56571
452,PostMaloneVEVO,Post Malone - rockstar ft. 21 Savage,2017-11-22,615506905.0, 7975333,   251146,  318605
453,MeghanTrainorVEVO,Meghan Trainor - Like I'm Gonna Lose You (Official Music Video) ft. John Legend,2015-07-10,615282299.0, 3286694,    98300,   77775
454,Big Hit Labels,BTS (방탄소년단) 'IDOL' Official MV,2018-08-24,614429014.0,11059790,   667277,2229016
455,TaylorSwiftVEVO,Taylor Swift - Style,2015-02-13,614232069.0, 2714949,   144462,  139039
456,Piso 21,Piso 21 ft. Paulo Londra - Te Amo (Video Oficial),2018-03-15,614060631.0, 2363883,   107232,   82226
457,Zee Music Company,Kala Chashma | Baar Baar Dekho | Sidharth M Katrina K | Prem & Hardeep ft Badshah Neha K Indeep,2016-07-27,613594355.0, 1666796,   273994,   47299
458,VIP Records,Daru Badnaam | Kamal Kahlon & Param Singh | Official Video | Pratik Studio | Latest Punjabi Songs,2016-12-24,612082760.0, 3323173,   299186,  154695
459,shakiraVEVO,"Shakira - Try Everything (From ""Zootopia"") [Official Music Video]",2016-03-04,611350419.0, 2612684,   182865,  133207
460,BeckyGVEVO,"Becky G, Paulo Londra - Cuando Te Besé (Official Video)",2018-08-02,607975792.0, 3189907,   182084,  136691
461,RaymixVEVO,Raymix - Oye Mujer,2015-09-21,606962514.0, 1572563,   181024,   69572
462,RHINO,The Chipettes - Single Ladies (Official Music Video),2010-08-04,606373303.0, 1168356,   275750,   38860
463,justintimberlakeVEVO,Justin Timberlake - Mirrors (Official Music Video),2013-03-20,605213507.0, 3065060,    89579,  135045
464,Coldplay,Coldplay - Viva La Vida,2008-08-04,603852275.0, 2613035,    75757,  208885
465,Lizos Music,BANDA MS - SOLO CON VERTE (VIDEO OFICIAL),2015-11-09,602719580.0, 1410556,   107466,   43988
466,Ed Sheeran,Ed Sheeran - Give Me Love [Official Video],2012-11-09,602140285.0, 2604971,    78417,   89452
467,Hear This Music,"La Ocasión - De La Ghetto, Arcangel, Ozuna, Anuel Aa, Dj Luian, Mambo Kingz [Video Oficial]",2016-02-13,602083342.0, 2202268,   154173,  103456
468,IndilaVEVO,Indila - Dernière Danse (Clip Officiel),2013-12-04,601950115.0, 4101105,   116687,  193412
469,LilWayneVEVO,Lil Wayne - Mirror ft. Bruno Mars,2012-01-31,600912525.0, 3398467,   145925,  268158
470,YRF,"Dil Diyan Gallan Song | Tiger Zinda Hai | Salman Khan, Katrina Kaif | Atif, Vishal & Shekhar, Irshad",2017-12-02,600200223.0, 2567556,   238868,  145823
471,toyorbabytv,ألوان - طيور بيبي Toyor Baby,2016-09-11,599740556.0,        NULL,        NULL,       NULL
472,Bruno Mars,Bruno Mars - It Will Rain (Official Video),2011-11-10,599712041.0, 2293610,    59910,  120884
473,RomeoSantosVEVO,"Romeo Santos, Daddy Yankee, Nicky Jam - Bella y Sensual (Official Video)",2017-11-24,599674575.0, 1979686,   163388,   51294
474,fosterthepeopleVEVO,Foster The People - Pumped up Kicks (Official Music Video),2011-02-05,599665398.0, 5133247,   125839,  395975
475,TaylorSwiftVEVO,Taylor Swift - We Are Never Ever Getting Back Together,2012-09-01,598676479.0, 2737892,   151492,  202505
476,CNCOVEVO,CNCO - Quisiera (Official Video),2016-06-03,596434702.0, 1773315,   126956,   99872
477,XXXTENTACION,XXXTENTACION - changes,2018-03-02,590876745.0, 7521384,   113590,  606136
478,YRF,Nashe Si Chadh Gayi Song | Befikre | Ranveer Singh | Vaani Kapoor | Arijit Singh,2016-10-18,590353663.0, 1278991,   141886,   54017
479,AkonVEVO,Akon ft. Eminem - Smack That (Official Video),2009-12-13,588862795.0, 3393954,   112406,  118038
480,El Reino Infantil,Cuidado con la Bomba Chita - Las Canciones del Zoo | El Reino Infantil,2013-11-30,588787780.0,   673651,   365995,   20885
481,Bruno Mars,Bruno Mars - Locked Out Of Heaven (Official Video),2012-10-15,587151612.0, 2516951,    79094,  119109
482,acdcVEVO,AC/DC - Back In Black (Official Video),2012-11-07,585677160.0, 2918837,   112392,   88888
483,PharrellWilliamsVEVO,Pharrell Williams - Happy (Official Music Video),2014-01-08,585660921.0, 3242432,   165255,  105595
484,Disturbed,Disturbed  - The Sound Of Silence [Official Music Video],2015-12-08,585068421.0, 3494288,   209413,  167682
485,DemiLovatoVEVO,"Demi Lovato - Let It Go (from ""Frozen"") (Official Video)",2013-11-01,584495150.0, 3140657,   200729,  161891
486,HarryStylesVEVO,Harry Styles - Sign of the Times (Video),2017-05-08,582927254.0, 4558205,   144722,  194805
487,KatyPerryVEVO,Katy Perry - Swish Swish (Official) ft. Nicki Minaj,2017-08-24,582697295.0, 4710307, 1154956,  466785
488,Lil Dicky,Lil Dicky  - Freaky Friday feat. Chris Brown (Official Music Video),2018-03-15,581257554.0, 4564829,   313380,  249022
489,Robin Schulz,Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix) (Official),2014-05-20,579901401.0, 2508047,    66186,   44199
490,Galinha Pintadinha,SAMBALELÊ - Clipe Música Oficial - Galinha Pintadinha DVD 4,2014-06-14,579077211.0,   849795,   513157,   12238
491,Daddy Yankee,Daddy Yankee & Bad Bunny - Vuelve (Video Oficial),2017-09-29,578938423.0, 2312941,   142867,   82941
492,BonJoviVEVO,Bon Jovi - Always (Official Music Video),2009-06-17,578411566.0, 1840445,    89980,   58008
493,Sofia Reyes,"Sofia Reyes - 1, 2, 3 (feat. Jason Derulo & De La Ghetto) [Official Video]",2018-02-16,578182121.0, 2593002,   188890,   89209
494,BANDA MS,BANDA MS - NO ME PIDAS PERDÓN (VIDEO OFICIAL),2014-05-14,578152910.0,   906769,    96334,   19581
495,TaylorSwiftVEVO,"ZAYN, Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker)",2017-01-27,578096257.0, 3883421,   178232,  127328
496,FutureVEVO,Future - Low Life (Official Music Video) ft. The Weeknd,2016-03-26,576459634.0, 2485658,   194704,   63003
497,BillieEilishVEVO,"Billie Eilish, Khalid - lovely",2018-04-26,576411236.0, 8108741,   113922,  197800
498,georgemichaelVEVO,George Michael - Careless Whisper (Official Video),2009-10-25,574361890.0, 3060638,   105794,  175192
499,JessieJVEVO,Jessie J - Flashlight (from Pitch Perfect 2),2015-04-23,573930252.0, 3606721,    98895,   96387
500,wisinofficalVEVO,"Wisin, Carlos Vives - Nota de Amor (Official Video) ft. Daddy Yankee",2015-04-17,573367556.0, 1365358,    66531,   37831
